,Fault Source Name,Slip Rate,Lower Seismogenic Depth,Dip,Magnitude Scaling Relationship,Mmax (L),Mmax (P),Mmax (U)
210,FallaChulibaya,Pref,Upper,Upper,Pref,6.3,6.6,6.9
211,FallaCupine-pampaTrapiche,Pref,Upper,Upper,Pref,7.37,7.67,7.97
212,FallaMesacalane,Pref,Upper,Upper,Pref,6.31,6.61,6.91
213,FallaTambo,Pref,Upper,Upper,Pref,7.01,7.31,7.61
214,FallaToquepala,Pref,Upper,Upper,Pref,7.1,7.4,7.7
215,ZonadefallasCarumas-Calacoa,Pref,Upper,Upper,Pref,7.17,7.47,7.77
216,ZonadefallasCoralaque,Pref,Upper,Upper,Pref,6.81,7.11,7.41
217,ZonadefallasHuaynaputina,Pref,Upper,Upper,Pref,6.89,7.19,7.49
218,ZonadefallasIchuna,Pref,Upper,Upper,Pref,7.32,7.62,7.92
219,ZonadefallasPastoGrande,Pref,Upper,Upper,Pref,7.08,7.38,7.68
220,ZonadefallasTicsani-Suches,Pref,Upper,Upper,Pref,6.95,7.25,7.55
221,FallaPurgatorio,Pref,Pref,Upper,Pref,7.0,7.3,7.6
222,FallaIncapuquio,Pref,Pref,Upper,Pref,7.25,7.55,7.85
223,FallaMicalaco,Pref,Pref,Upper,Pref,6.77,7.07,7.37
224,FallaCerroRocoso,Pref,Pref,Upper,Pref,6.37,6.67,6.97
225,FallaChascoso,Pref,Pref,Upper,Pref,6.0,6.3,6.6
226,FallaChololo,Pref,Pref,Upper,Pref,7.08,7.38,7.68
227,FallaChulibaya,Pref,Pref,Upper,Pref,6.22,6.52,6.82
228,FallaCupine-pampaTrapiche,Pref,Pref,Upper,Pref,7.29,7.59,7.89
229,FallaMesacalane,Pref,Pref,Upper,Pref,6.24,6.54,6.84
230,FallaTambo,Pref,Pref,Upper,Pref,6.93,7.23,7.53
231,FallaToquepala,Pref,Pref,Upper,Pref,7.02,7.32,7.62
232,ZonadefallasCarumas-Calacoa,Pref,Pref,Upper,Pref,7.09,7.39,7.69
